Genus,Species,NofFiles,NBDC,UBC,Yorku,UoA,GlobalBiodiversity,Ecdysis,N_NBDC_samples
Lasioglossum,Lasioglossum laevissimum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum leucozonium,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum lineatulum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum lusorium,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum macoupinense,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum nigroviride,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum nigrum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum novascotiae,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum occidentale,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum packeri,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum pallidellum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum paraforbesii,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum pavoninum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum perpunctatum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum pictum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum planatum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum prasinogaster,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum pruinosum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum quebecense,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum ruidosense,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum sagax,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum seillean,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum semicaeruleum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum sisymbrii,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum sitocleptum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum succinipenne,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum swenki,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum synthyridis,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum testaceum,0,0,0,0,0,0,0,0
Lasioglossum,Lasioglossum trizonatum,0,0,0,0,0,0,0,0
