Genus,Species,NofFiles,NBDC,UBC,Yorku,UoA,GlobalBiodiversity,Ecdysis,N_NBDC_samples
Bombus,Bombus perplexus,22,10,6,0,0,0,0,0
Bombus,Bombus polaris polaris,6,0,6,0,0,0,0,0
Bombus,Bombus rufocinctus,36,10,6,0,0,0,0,148
Bombus,Bombus sitkensis,6,0,6,0,0,0,0,0
Bombus,Bombus sylvicola,13,0,7,0,0,0,0,0
Bombus,Bombus ternarius,31,6,6,0,0,0,0,169
Bombus,Bombus terricola,17,4,6,0,1,0,0,1
Bombus,Bombus vagans,38,9,6,0,0,0,0,306
Calliopsis,Calliopsis chlorops,0,0,0,0,0,0,0,0
Calliopsis,Calliopsis coloradensis,3,3,0,0,0,0,0,0
Coelioxys,Coelioxys alternatus,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys banksi,3,3,0,0,0,0,0,0
Coelioxys,Coelioxys edita,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys funeraria,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys grindeliae,0,0,0,0,0,0,0,0
Coelioxys,Coelioxys moesta,4,4,0,0,0,0,0,0
Coelioxys,Coelioxys octodentata,5,5,0,0,0,0,0,0
Coelioxys,Coelioxys porterae,3,3,0,0,0,0,0,0
Coelioxys,Coelioxys rufitarsis,5,5,0,0,0,0,0,0
Coelioxys,Coelioxys sodalis,6,6,0,0,0,0,0,0
Colletes,Colletes aberrans,0,0,0,0,0,0,0,0
Colletes,Colletes consors,0,0,0,0,0,0,0,0
Colletes,Colletes fulgidus,0,0,0,0,0,0,0,0
Colletes,Colletes hyalinus,0,0,0,0,0,0,0,0
Colletes,Colletes impunctatus,0,0,0,0,0,0,0,0
Colletes,Colletes kincaidii,3,3,0,0,0,0,0,0
Colletes,Colletes nigrifrons,1,1,0,0,0,0,0,0
Colletes,Colletes petalostemonis,0,0,0,0,0,0,0,0
Colletes,Colletes phaceliae,14,14,0,0,0,0,0,0
Colletes,Colletes rufocinctus,0,0,0,0,0,0,0,0
